time; bitrate_mean;
0.0; 400.0;
1.0; 400.0;
2.0; 400.0;
3.0; 400.0;
4.0; 400.0;
5.0; 500.024414062;
6.0; 400.0;
7.0; 400.0;
8.0; 400.0;
9.0; 450.0;
10.0; 400.0;
11.0; 400.0;
12.0; 400.0;
13.0; 400.0;
14.0; 400.0;
15.0; 600.0;
16.0; 400.0;
17.0; 400.0;
18.0; 400.0;
21.0; 400.0;
22.0; 400.0;
23.0; 400.0;
26.0; 400.0;
29.0; 400.0;
31.0; 400.0;
32.0; 400.0;
35.0; 400.0;
36.0; 400.0;
37.0; 400.0;
38.0; 400.0;
39.0; 600.0;
40.0; 400.0;
42.0; 400.0;
45.0; 400.0;
48.0; 400.0;
49.0; 400.0;
50.0; 400.0;
51.0; 400.0;
52.0; 400.0;
54.0; 400.0;
